Device index,Year,DOI,CP_Mn (kg/mol),CP_Mw (kg/mol),PDI,Solvent_1,Solvent_1_bp (C),Sovlent_1_empirical_polarity (Et),Sovlent_1_normalized_polarity (Etn),Sovlent_1_Mw,Solvent_2,Solvent_2_bp (C),Sovlent_2_empirical_polarity (Et),Sovlent_2_normalized_polarity (Etn),Sovlent_2_Mw,Concentration (g/L),Insulating Matrix,IM_concentration (mg/mL),IM_Mn (kg/mol),IM_Mw (kg/mol),IM_PDI,CP_blend,Solution_Processing_Environment,Substrate_Type,Dielectric_Material_1,Dielectric_Material_1_Thickness (nm),Dielectric_Material_2,Dielectric_Material_2_Thickness (nm),Source/Drain_Electrode_Material,Chanel_Width (μm),Chanel_Length (μm),Capacitance_Per_Unit_Area (nF/cm2),Substrate_Treatment,Deposition_Type,Spin_Rate (rpm),Spin_Time (s),Blade_Speed (mm/s),Blade_Height (um),Blade_Angle (degrees),Channel_Orientation_WRT_Coating_Direction,Stage_Temperature (C),Anneal_Temperature (C),Anneal_Time (h),Annealing Environment,Deposition_Environment,OFET_Configuration,OFET_Regime,Film_Thickness (nm),Average_OFET_Hole_Mobility (cm2/Vs),STDEV_OFET_Hole Mobility (cm2/Vs),Average_OFET_Electron_Mobility (cm2/Vs),STDEV_OFET_Electron_Mobility (cm2/Vs),Vth_Hole (V),Vth_Electron (V),Ion/Ioff,Mobility_Charaterization_Environment,SS (V/Decade),Transfer_Curve _Vds,Transfer_Curve_Vg_min (V),Transfer_Curve_Vg_max (V),Output Curve_Vg_min (V),Output_Curve _Vg_max (V),Output_Curve_Vd_min (V),Output_Curve_Vd_max (V)
1,2015,DOI: 10.1021/am507759u,12,23,1.9,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,42.5,0.0008,NaN,0.38,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
2,2015,DOI: 10.1021/am507759u,12,23,1.9,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,NaN,0.0001,NaN,0.64,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
3,2015,DOI: 10.1021/am507759u,12,23,1.9,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,NaN,0.0003,NaN,0.0005,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
4,2015,DOI: 10.1021/am507759u,12,23,1.9,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,NaN,NaN,NaN,0.0001,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
5,2015,DOI: 10.1021/am507759u,22.5,72,3.2,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,50,0.006,NaN,0.25,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
6,2015,DOI: 10.1021/am507759u,22.5,72,3.2,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,40,0.009,NaN,0.3,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
7,2015,DOI: 10.1021/am507759u,22.5,72,3.2,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,NaN,0.007,NaN,0.275,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
8,2015,DOI: 10.1021/am507759u,22.5,72,3.2,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,NaN,0.001,NaN,0.0125,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
9,2015,DOI: 10.1021/am507759u,108.7,250,2.3,C6H4Cl2,180,38,0.225,147.01,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,50,0.01,NaN,0.23,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
10,2015,DOI: 10.1021/am507759u,108.7,250,2.3,C2H2Cl4,146.7,39.4,0.269,167.85,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,100,Nitrogen,glass,PMMA,650,NaN,NaN,Au,500,50,3.75,Untreated,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,110,1,Nitrogen,Nitrogen,TGBC,Saturation,40,0.009,NaN,0.2,NaN,NaN,NaN,NaN,Ambient,NaN,100,-20,100,NaN,NaN,NaN,NaN
